,sku_id,category,brand,color,size,week_start,weekly_sales,avg_price,avg_markdown,avg_rating,week_of_year,month,lag_1_sales,lag_2_sales,rolling_4w_avg
100,Accessories_H&M_Pink_OS,Accessories,H&M,Pink,OS,2025-03-17,1,20.94,41.2,3.7,12,3,1.0,,1.0
19,Accessories_Ann Taylor_Purple_OS,Accessories,Ann Taylor,Purple,OS,2025-03-24,1,33.56,0.0,3.0,13,3,1.0,1.0,1.0
358,Bottoms_H&M_Purple_XS,Bottoms,H&M,Purple,XS,2025-03-31,1,113.18,0.0,4.9,14,3,1.0,,1.0
64,Accessories_Gap_Black_OS,Accessories,Gap,Black,OS,2025-03-31,1,68.2,0.0,3.8,14,3,1.0,,1.0
159,Accessories_Zara_Gray_OS,Accessories,Zara,Gray,OS,2025-04-07,1,78.04,0.0,4.9,15,4,1.0,,1.0
156,Accessories_Zara_Brown_OS,Accessories,Zara,Brown,OS,2025-04-07,1,54.92,0.0,3.1,15,4,1.0,1.0,1.0
788,Outerwear_Ann Taylor_Brown_XS,Outerwear,Ann Taylor,Brown,XS,2025-04-07,1,174.05,0.0,,15,4,1.0,,1.0
1510,Tops_Gap_Gray_XL,Tops,Gap,Gray,XL,2025-04-14,1,105.37,0.0,1.2,16,4,1.0,,1.0
976,Outerwear_Mango_Gray_XS,Outerwear,Mango,Gray,XS,2025-04-14,1,216.26,0.0,1.1,16,4,1.0,,1.0
135,Accessories_Uniqlo_Green_OS,Accessories,Uniqlo,Green,OS,2025-04-14,1,39.35,14.1,,16,4,1.0,,1.0
150,Accessories_Zara_Blue_OS,Accessories,Zara,Blue,OS,2025-04-21,1,62.02,0.0,3.7,17,4,1.0,,1.0
84,Accessories_Gap_White_OS,Accessories,Gap,White,OS,2025-04-21,1,16.54,0.0,,17,4,1.0,1.0,1.0
848,Outerwear_Banana Republic_Navy_L,Outerwear,Banana Republic,Navy,L,2025-04-21,1,101.77,48.8,3.0,17,4,1.0,,1.0
77,Accessories_Gap_Purple_OS,Accessories,Gap,Purple,OS,2025-04-21,1,61.01,0.0,3.4,17,4,1.0,,1.0
1580,Tops_Mango_Black_L,Tops,Mango,Black,L,2025-04-21,1,116.84,0.0,4.4,17,4,1.0,,1.0
171,Accessories_Zara_Red_OS,Accessories,Zara,Red,OS,2025-04-28,1,74.61,0.0,2.8,18,4,1.0,,1.0
543,Dresses_Banana Republic_Blue_XL,Dresses,Banana Republic,Blue,XL,2025-04-28,1,48.04,0.0,3.2,18,4,1.0,,1.0
187,Bottoms_Ann Taylor_Blue_L,Bottoms,Ann Taylor,Blue,L,2025-05-05,1,63.0,38.6,4.0,19,5,1.0,,1.0
1011,Outerwear_Uniqlo_Brown_XS,Outerwear,Uniqlo,Brown,XS,2025-05-05,1,127.59,0.0,4.9,19,5,1.0,,1.0
20,Accessories_Ann Taylor_Purple_OS,Accessories,Ann Taylor,Purple,OS,2025-05-12,1,70.75,0.0,1.4,20,5,1.0,1.0,1.0
1386,Tops_Ann Taylor_Beige_XS,Tops,Ann Taylor,Beige,XS,2025-05-19,1,57.27,2.1,3.9,21,5,1.0,,1.0
164,Accessories_Zara_Navy_OS,Accessories,Zara,Navy,OS,2025-05-26,1,75.48,0.0,1.4,22,5,1.0,,1.0
123,Accessories_Uniqlo_Beige_OS,Accessories,Uniqlo,Beige,OS,2025-05-26,1,49.93,26.2,1.7,22,5,1.0,1.0,1.0
699,Dresses_Mango_Pink_XL,Dresses,Mango,Pink,XL,2025-05-26,1,59.13,42.2,1.3,22,5,1.0,,1.0
770,Dresses_Zara_Red_L,Dresses,Zara,Red,L,2025-06-02,1,171.92,0.0,1.3,23,6,1.0,,1.0
493,Bottoms_Zara_Purple_M,Bottoms,Zara,Purple,M,2025-06-02,1,82.37,0.0,3.3,23,6,1.0,,1.0
1072,Outerwear_Zara_White_S,Outerwear,Zara,White,S,2025-06-09,1,166.76,0.0,4.2,24,6,1.0,,1.0
116,Accessories_Mango_Pink_OS,Accessories,Mango,Pink,OS,2025-06-16,1,19.96,0.0,1.4,25,6,1.0,,1.0
1556,Tops_H&M_Green_L,Tops,H&M,Green,L,2025-06-16,1,33.55,29.0,5.0,25,6,1.0,,1.0
834,Outerwear_Banana Republic_Brown_XXL,Outerwear,Banana Republic,Brown,XXL,2025-06-23,1,199.89,9.2,4.8,26,6,1.0,,1.0
34,Accessories_Banana Republic_Gray_OS,Accessories,Banana Republic,Gray,OS,2025-07-07,1,77.78,0.0,2.5,28,7,1.0,,1.0
851,Outerwear_Banana Republic_Navy_XS,Outerwear,Banana Republic,Navy,XS,2025-07-14,1,229.17,0.0,2.0,29,7,1.0,,1.0
428,Bottoms_Uniqlo_Gray_XL,Bottoms,Uniqlo,Gray,XL,2025-07-21,1,109.81,0.0,1.9000000000000001,30,7,1.0,,1.0
132,Accessories_Uniqlo_Gray_OS,Accessories,Uniqlo,Gray,OS,2025-07-21,1,9.58,36.7,3.8,30,7,1.0,,1.0
5,Accessories_Ann Taylor_Black_OS,Accessories,Ann Taylor,Black,OS,2025-07-21,1,52.97,0.0,4.6,30,7,1.0,1.0,1.0
142,Accessories_Uniqlo_Purple_OS,Accessories,Uniqlo,Purple,OS,2025-07-21,1,26.02,19.2,4.3,30,7,1.0,1.0,1.0
58,Accessories_Forever21_Red_OS,Accessories,Forever21,Red,OS,2025-07-21,1,23.13,29.1,1.4,30,7,1.0,,1.0
160,Accessories_Zara_Gray_OS,Accessories,Zara,Gray,OS,2025-07-21,1,54.45,29.9,4.0,30,7,1.0,1.0,1.0
80,Accessories_Gap_Red_OS,Accessories,Gap,Red,OS,2025-07-28,1,79.94,0.0,3.8,31,7,1.0,,1.0
578,Dresses_Forever21_Blue_S,Dresses,Forever21,Blue,S,2025-07-28,1,42.36,53.2,2.2,31,7,1.0,,1.0
52,Accessories_Forever21_Navy_OS,Accessories,Forever21,Navy,OS,2025-07-28,1,25.34,0.0,3.3,31,7,1.0,,1.0
925,Outerwear_Gap_Red_XS,Outerwear,Gap,Red,XS,2025-08-04,1,132.92,0.0,1.2,32,8,1.0,,1.0
947,Outerwear_H&M_Gray_XL,Outerwear,H&M,Gray,XL,2025-08-04,1,205.37,0.0,2.0,32,8,1.0,,1.0
939,Outerwear_H&M_Black_XS,Outerwear,H&M,Black,XS,2025-08-04,1,183.05,0.0,4.6,32,8,1.0,,1.0
933,Outerwear_H&M_Beige_S,Outerwear,H&M,Beige,S,2025-08-04,1,208.57,0.0,3.6,32,8,1.0,,1.0
1667,Tops_Zara_Blue_XL,Tops,Zara,Blue,XL,2025-08-04,1,89.62,0.0,4.6,32,8,1.0,,1.0
1674,Tops_Zara_Gray_XS,Tops,Zara,Gray,XS,2025-08-04,1,91.09,2.4,4.2,32,8,1.0,,1.0
914,Outerwear_Gap_Green_S,Outerwear,Gap,Green,S,2025-08-04,2,153.765,7.6,3.1,32,8,1.0,,1.0
983,Outerwear_Mango_Navy_L,Outerwear,Mango,Navy,L,2025-08-04,1,180.21,16.5,2.4,32,8,1.0,,1.0
990,Outerwear_Mango_Purple_L,Outerwear,Mango,Purple,L,2025-08-04,1,209.66,0.0,2.1,32,8,1.0,,1.0
995,Outerwear_Mango_Red_XXL,Outerwear,Mango,Red,XXL,2025-08-04,1,184.64,7.4,,32,8,1.0,,1.0
1009,Outerwear_Uniqlo_Brown_S,Outerwear,Uniqlo,Brown,S,2025-08-04,1,180.57,0.0,,32,8,1.0,,1.0
1655,Tops_Zara_Beige_XS,Tops,Zara,Beige,XS,2025-08-04,1,53.37,0.0,1.1,32,8,1.0,,1.0
1019,Outerwear_Uniqlo_Green_XL,Outerwear,Uniqlo,Green,XL,2025-08-04,1,121.91,39.7,4.1,32,8,1.0,,1.0
1641,Tops_Uniqlo_Purple_XXL,Tops,Uniqlo,Purple,XXL,2025-08-04,1,80.97,0.0,,32,8,1.0,,1.0
1040,Outerwear_Zara_Beige_S,Outerwear,Zara,Beige,S,2025-08-04,1,215.1,0.0,2.5,32,8,1.0,,1.0
1047,Outerwear_Zara_Blue_M,Outerwear,Zara,Blue,M,2025-08-04,1,71.51,12.4,,32,8,1.0,,1.0
1055,Outerwear_Zara_Green_M,Outerwear,Zara,Green,M,2025-08-04,2,173.63,0.0,4.15,32,8,1.0,,1.0
967,Outerwear_H&M_White_XXL,Outerwear,H&M,White,XXL,2025-08-04,1,246.49,0.0,4.8,32,8,1.0,1.0,1.0
897,Outerwear_Forever21_Red_XL,Outerwear,Forever21,Red,XL,2025-08-04,2,146.845,29.2,1.55,32,8,1.0,,1.0
1515,Tops_Gap_Green_S,Tops,Gap,Green,S,2025-08-04,1,23.46,40.1,2.8,32,8,1.0,,1.0
880,Outerwear_Forever21_Green_S,Outerwear,Forever21,Green,S,2025-08-04,1,167.73,0.0,4.9,32,8,1.0,,1.0
703,Dresses_Mango_Purple_S,Dresses,Mango,Purple,S,2025-08-04,1,41.83,21.8,2.1,32,8,1.0,,1.0
1682,Tops_Zara_Pink_XXL,Tops,Zara,Pink,XXL,2025-08-04,2,46.165,23.55,4.7,32,8,1.0,,1.0
721,Dresses_Uniqlo_Gray_XL,Dresses,Uniqlo,Gray,XL,2025-08-04,2,52.050000000000004,40.85,3.15,32,8,1.0,,1.0
727,Dresses_Uniqlo_Pink_S,Dresses,Uniqlo,Pink,S,2025-08-04,1,175.86,0.0,4.6,32,8,1.0,,1.0
732,Dresses_Uniqlo_Red_XS,Dresses,Uniqlo,Red,XS,2025-08-04,1,47.21,57.1,4.7,32,8,1.0,,1.0
740,Dresses_Zara_Beige_S,Dresses,Zara,Beige,S,2025-08-04,1,54.79,52.8,,32,8,1.0,,1.0
747,Dresses_Zara_Blue_XS,Dresses,Zara,Blue,XS,2025-08-04,1,168.96,0.0,,32,8,1.0,,1.0
756,Dresses_Zara_Navy_L,Dresses,Zara,Navy,L,2025-08-04,1,175.43,0.0,1.8,32,8,1.0,,1.0
761,Dresses_Zara_Navy_XL,Dresses,Zara,Navy,XL,2025-08-04,1,62.47,21.1,1.5,32,8,1.0,,1.0
771,Dresses_Zara_Red_L,Dresses,Zara,Red,L,2025-08-04,1,140.34,0.0,2.8,32,8,1.0,1.0,1.0
773,Dresses_Zara_Red_M,Dresses,Zara,Red,M,2025-08-04,2,89.545,16.65,2.8,32,8,1.0,,1.0
793,Outerwear_Ann Taylor_Green_XL,Outerwear,Ann Taylor,Green,XL,2025-08-04,1,117.45,9.5,4.0,32,8,1.0,,1.0
805,Outerwear_Ann Taylor_Pink_XS,Outerwear,Ann Taylor,Pink,XS,2025-08-04,1,90.58,0.0,1.0,32,8,1.0,,1.0
807,Outerwear_Ann Taylor_Purple_S,Outerwear,Ann Taylor,Purple,S,2025-08-04,1,143.76,0.0,2.0,32,8,1.0,,1.0
815,Outerwear_Ann Taylor_White_OS,Outerwear,Ann Taylor,White,OS,2025-08-04,1,80.35,0.0,2.9,32,8,1.0,,1.0
818,Outerwear_Ann Taylor_White_XS,Outerwear,Ann Taylor,White,XS,2025-08-04,1,116.49,0.0,3.3,32,8,1.0,,1.0
824,Outerwear_Banana Republic_Black_XXL,Outerwear,Banana Republic,Black,XXL,2025-08-04,1,128.11,44.6,3.7,32,8,1.0,,1.0
830,Outerwear_Banana Republic_Brown_S,Outerwear,Banana Republic,Brown,S,2025-08-04,1,101.93,0.0,,32,8,1.0,,1.0
832,Outerwear_Banana Republic_Brown_XL,Outerwear,Banana Republic,Brown,XL,2025-08-04,1,87.09,0.0,2.8,32,8,1.0,,1.0
1064,Outerwear_Zara_Red_L,Outerwear,Zara,Red,L,2025-08-04,1,129.86,0.0,1.7,32,8,1.0,,1.0
843,Outerwear_Banana Republic_Green_M,Outerwear,Banana Republic,Green,M,2025-08-04,1,109.82,0.0,2.3,32,8,1.0,,1.0
1676,Tops_Zara_Gray_XXL,Tops,Zara,Gray,XXL,2025-08-04,1,26.09,0.0,4.6,32,8,1.0,,1.0
865,Outerwear_Banana Republic_White_M,Outerwear,Banana Republic,White,M,2025-08-04,1,99.5,55.2,4.5,32,8,1.0,,1.0
890,Outerwear_Forever21_Purple_L,Outerwear,Forever21,Purple,L,2025-08-04,1,87.07,16.9,4.3,32,8,1.0,,1.0
835,Outerwear_Banana Republic_Brown_XXL,Outerwear,Banana Republic,Brown,XXL,2025-08-04,1,91.08,0.0,4.9,32,8,1.0,1.0,1.0
1142,Shoes_Banana Republic_Red_XXL,Shoes,Banana Republic,Red,XXL,2025-08-04,1,113.58,0.0,4.9,32,8,1.0,,1.0
1095,Shoes_Ann Taylor_Purple_XS,Shoes,Ann Taylor,Purple,XS,2025-08-04,2,100.795,23.7,3.2,32,8,1.0,,1.0
1310,Shoes_Uniqlo_Blue_XL,Shoes,Uniqlo,Blue,XL,2025-08-04,1,88.42,0.0,3.4,32,8,1.0,,1.0
1312,Shoes_Uniqlo_Blue_XS,Shoes,Uniqlo,Blue,XS,2025-08-04,1,154.82,0.0,,32,8,1.0,,1.0
1561,Tops_H&M_Navy_L,Tops,H&M,Navy,L,2025-08-04,1,29.17,0.0,1.6,32,8,1.0,,1.0
1320,Shoes_Uniqlo_Gray_S,Shoes,Uniqlo,Gray,S,2025-08-04,1,142.83,0.0,3.5,32,8,1.0,,1.0
1339,Shoes_Uniqlo_Red_S,Shoes,Uniqlo,Red,S,2025-08-04,2,130.305,0.0,3.3,32,8,1.0,,1.0
1348,Shoes_Zara_Blue_XL,Shoes,Zara,Blue,XL,2025-08-04,2,96.455,19.95,1.9500000000000002,32,8,1.0,,1.0
1356,Shoes_Zara_Green_L,Shoes,Zara,Green,L,2025-08-04,2,102.14500000000001,0.0,2.5,32,8,1.0,,1.0
1371,Shoes_Zara_Red_S,Shoes,Zara,Red,S,2025-08-04,1,67.88,44.1,4.4,32,8,1.0,,1.0
1379,Shoes_Zara_White_S,Shoes,Zara,White,S,2025-08-04,1,158.29,0.0,1.6,32,8,1.0,,1.0
1559,Tops_H&M_Green_S,Tops,H&M,Green,S,2025-08-04,2,50.364999999999995,11.85,3.55,32,8,1.0,,1.0
1537,Tops_H&M_Beige_L,Tops,H&M,Beige,L,2025-08-04,2,65.13499999999999,0.0,3.8,32,8,1.0,,1.0
1409,Tops_Ann Taylor_Navy_XL,Tops,Ann Taylor,Navy,XL,2025-08-04,1,103.96,0.0,3.3,32,8,1.0,,1.0
1533,Tops_Gap_Red_XS,Tops,Gap,Red,XS,2025-08-04,1,72.69,0.0,,32,8,1.0,,1.0
1417,Tops_Ann Taylor_Purple_XXL,Tops,Ann Taylor,Purple,XXL,2025-08-04,1,51.94,45.4,2.5,32,8,1.0,,1.0
1439,Tops_Banana Republic_Gray_S,Tops,Banana Republic,Gray,S,2025-08-04,1,85.94,0.0,1.5,32,8,1.0,,1.0
1446,Tops_Banana Republic_Navy_S,Tops,Banana Republic,Navy,S,2025-08-04,1,27.35,30.9,2.5,32,8,1.0,,1.0
1524,Tops_Gap_Pink_S,Tops,Gap,Pink,S,2025-08-04,2,102.38,0.0,1.1,32,8,1.0,,1.0
1454,Tops_Banana Republic_Red_L,Tops,Banana Republic,Red,L,2025-08-04,1,56.38,0.0,,32,8,1.0,,1.0
1462,Tops_Forever21_Beige_L,Tops,Forever21,Beige,L,2025-08-04,1,51.09,39.9,3.0,32,8,1.0,,1.0
1466,Tops_Forever21_Black_XL,Tops,Forever21,Black,XL,2025-08-04,1,111.64,0.0,4.8,32,8,1.0,,1.0
1478,Tops_Forever21_Green_XS,Tops,Forever21,Green,XS,2025-08-04,1,100.17,0.0,1.2,32,8,1.0,,1.0
1496,Tops_Gap_Black_L,Tops,Gap,Black,L,2025-08-04,2,64.37,4.45,3.7,32,8,1.0,,1.0
1507,Tops_Gap_Brown_XS,Tops,Gap,Brown,XS,2025-08-04,1,34.8,42.5,,32,8,1.0,,1.0
1563,Tops_H&M_Navy_XL,Tops,H&M,Navy,XL,2025-08-04,1,40.68,0.0,1.1,32,8,1.0,,1.0
1304,Shoes_Uniqlo_Black_XL,Shoes,Uniqlo,Black,XL,2025-08-04,1,116.76,0.0,,32,8,1.0,,1.0
1301,Shoes_Uniqlo_Black_L,Shoes,Uniqlo,Black,L,2025-08-04,1,93.06,42.7,4.8,32,8,1.0,,1.0
1287,Shoes_Mango_Pink_XS,Shoes,Mango,Pink,XS,2025-08-04,1,154.82,0.0,4.1,32,8,1.0,,1.0
1098,Shoes_Ann Taylor_Red_XL,Shoes,Ann Taylor,Red,XL,2025-08-04,1,28.99,53.5,4.1,32,8,1.0,,1.0
1103,Shoes_Ann Taylor_White_XXL,Shoes,Ann Taylor,White,XXL,2025-08-04,1,154.02,0.0,1.3,32,8,1.0,,1.0
1107,Shoes_Banana Republic_Beige_XL,Shoes,Banana Republic,Beige,XL,2025-08-04,1,101.19,47.5,2.8,32,8,1.0,,1.0
1112,Shoes_Banana Republic_Blue_L,Shoes,Banana Republic,Blue,L,2025-08-04,3,140.65333333333334,11.433333333333332,2.566666666666667,32,8,1.0,,1.0
1511,Tops_Gap_Gray_XL,Tops,Gap,Gray,XL,2025-08-04,1,71.44,0.0,4.3,32,8,1.0,1.0,1.0
1144,Shoes_Banana Republic_White_L,Shoes,Banana Republic,White,L,2025-08-04,1,150.96,0.0,4.6,32,8,1.0,,1.0
1154,Shoes_Forever21_Brown_L,Shoes,Forever21,Brown,L,2025-08-04,1,73.81,0.0,1.3,32,8,1.0,,1.0
1183,Shoes_Gap_Black_XXL,Shoes,Gap,Black,XXL,2025-08-04,1,131.55,0.0,1.8,32,8,1.0,,1.0
1190,Shoes_Gap_Gray_S,Shoes,Gap,Gray,S,2025-08-04,1,86.56,20.7,2.0,32,8,1.0,,1.0
1210,Shoes_Gap_White_XS,Shoes,Gap,White,XS,2025-08-04,1,71.94,0.0,3.3,32,8,1.0,,1.0
1216,Shoes_H&M_Black_XL,Shoes,H&M,Black,XL,2025-08-04,2,113.265,24.349999999999998,2.75,32,8,1.0,,1.0
1079,Shoes_Ann Taylor_Black_M,Shoes,Ann Taylor,Black,M,2025-08-04,1,192.74,0.0,4.3,32,8,1.0,,1.0
1218,Shoes_H&M_Blue_L,Shoes,H&M,Blue,L,2025-08-04,2,164.015,0.0,3.6,32,8,1.0,,1.0
1229,Shoes_H&M_Gray_XXL,Shoes,H&M,Gray,XXL,2025-08-04,1,85.54,0.0,,32,8,1.0,,1.0
1231,Shoes_H&M_Green_M,Shoes,H&M,Green,M,2025-08-04,2,70.375,26.4,3.7,32,8,1.0,,1.0
1235,Shoes_H&M_Green_XS,Shoes,H&M,Green,XS,2025-08-04,1,84.99,57.3,3.4,32,8,1.0,,1.0
1637,Tops_Uniqlo_Purple_M,Tops,Uniqlo,Purple,M,2025-08-04,1,34.72,0.0,,32,8,1.0,,1.0
1631,Tops_Uniqlo_Green_XL,Tops,Uniqlo,Green,XL,2025-08-04,1,33.35,0.0,1.2,32,8,1.0,,1.0
1253,Shoes_H&M_White_L,Shoes,H&M,White,L,2025-08-04,1,155.66,0.0,4.0,32,8,1.0,,1.0
1256,Shoes_H&M_White_XL,Shoes,H&M,White,XL,2025-08-04,1,72.99,22.4,,32,8,1.0,,1.0
1263,Shoes_Mango_Black_S,Shoes,Mango,Black,S,2025-08-04,2,101.735,11.25,3.55,32,8,1.0,,1.0
1573,Tops_H&M_White_S,Tops,H&M,White,S,2025-08-04,1,53.87,0.0,4.2,32,8,1.0,,1.0
1268,Shoes_Mango_Brown_M,Shoes,Mango,Brown,M,2025-08-04,2,133.24,0.0,2.7,32,8,1.0,,1.0
1271,Shoes_Mango_Brown_S,Shoes,Mango,Brown,S,2025-08-04,1,143.27,0.0,,32,8,1.0,,1.0
1220,Shoes_H&M_Blue_M,Shoes,H&M,Blue,M,2025-08-04,2,52.985,28.55,4.0,32,8,1.0,,1.0
688,Dresses_Mango_Green_XL,Dresses,Mango,Green,XL,2025-08-04,1,119.96,0.0,5.0,32,8,1.0,,1.0
1,Accessories_Ann Taylor_Beige_OS,Accessories,Ann Taylor,Beige,OS,2025-08-04,6,40.940000000000005,15.433333333333332,2.175,32,8,1.0,,1.0
672,Dresses_Mango_Beige_XS,Dresses,Mango,Beige,XS,2025-08-04,1,111.66,0.0,1.4,32,8,1.0,,1.0
107,Accessories_Mango_Black_OS,Accessories,Mango,Black,OS,2025-08-04,2,59.03,17.45,1.6,32,8,1.0,,1.0
110,Accessories_Mango_Brown_OS,Accessories,Mango,Brown,OS,2025-08-04,6,52.26,4.8500000000000005,2.58,32,8,1.0,,1.0
113,Accessories_Mango_Green_OS,Accessories,Mango,Green,OS,2025-08-04,2,39.675,24.4,3.0,32,8,1.0,,1.0
117,Accessories_Mango_Pink_OS,Accessories,Mango,Pink,OS,2025-08-04,3,35.63,19.5,2.1999999999999997,32,8,1.0,1.0,1.0
124,Accessories_Uniqlo_Beige_OS,Accessories,Uniqlo,Beige,OS,2025-08-04,3,52.15,4.166666666666667,2.3000000000000003,32,8,1.0,1.0,1.0
126,Accessories_Uniqlo_Black_OS,Accessories,Uniqlo,Black,OS,2025-08-04,7,40.044285714285714,1.1857142857142857,4.26,32,8,1.0,,1.0
128,Accessories_Uniqlo_Blue_OS,Accessories,Uniqlo,Blue,OS,2025-08-04,3,39.13333333333333,11.733333333333334,3.1333333333333333,32,8,1.0,,1.0
130,Accessories_Uniqlo_Brown_OS,Accessories,Uniqlo,Brown,OS,2025-08-04,4,47.9975,24.7,4.1000000000000005,32,8,1.0,,1.0
133,Accessories_Uniqlo_Gray_OS,Accessories,Uniqlo,Gray,OS,2025-08-04,3,55.96,12.566666666666668,2.6999999999999997,32,8,1.0,1.0,1.0
136,Accessories_Uniqlo_Green_OS,Accessories,Uniqlo,Green,OS,2025-08-04,5,35.716,8.68,3.4,32,8,1.0,1.0,1.0
139,Accessories_Uniqlo_Pink_OS,Accessories,Uniqlo,Pink,OS,2025-08-04,6,47.225,7.883333333333333,2.6333333333333333,32,8,1.0,,1.0
101,Accessories_H&M_Pink_OS,Accessories,H&M,Pink,OS,2025-08-04,2,24.845,19.7,1.2999999999999998,32,8,1.0,1.0,1.0
143,Accessories_Uniqlo_Purple_OS,Accessories,Uniqlo,Purple,OS,2025-08-04,1,33.29,22.5,1.9000000000000001,32,8,1.0,1.0,1.0
151,Accessories_Zara_Blue_OS,Accessories,Zara,Blue,OS,2025-08-04,3,32.166666666666664,19.96666666666667,2.433333333333333,32,8,1.0,1.0,1.0
157,Accessories_Zara_Brown_OS,Accessories,Zara,Brown,OS,2025-08-04,5,29.926,14.319999999999999,3.16,32,8,1.0,1.0,1.0
161,Accessories_Zara_Gray_OS,Accessories,Zara,Gray,OS,2025-08-04,2,67.33,0.0,2.1,32,8,1.0,1.0,1.0
165,Accessories_Zara_Navy_OS,Accessories,Zara,Navy,OS,2025-08-04,2,38.13,0.0,3.3,32,8,1.0,1.0,1.0
169,Accessories_Zara_Purple_OS,Accessories,Zara,Purple,OS,2025-08-04,4,34.105000000000004,25.3,2.05,32,8,1.0,1.0,1.0
172,Accessories_Zara_Red_OS,Accessories,Zara,Red,OS,2025-08-04,5,47.54,7.26,2.8,32,8,1.0,1.0,1.0
174,Accessories_Zara_White_OS,Accessories,Zara,White,OS,2025-08-04,5,32.42,12.919999999999998,3.22,32,8,1.0,,1.0
680,Dresses_Mango_Blue_XS,Dresses,Mango,Blue,XS,2025-08-04,2,115.04499999999999,23.85,4.1,32,8,1.0,,1.0
180,Bottoms_Ann Taylor_Beige_XL,Bottoms,Ann Taylor,Beige,XL,2025-08-04,1,36.99,42.2,3.2,32,8,1.0,,1.0
192,Bottoms_Ann Taylor_Brown_XXL,Bottoms,Ann Taylor,Brown,XXL,2025-08-04,1,49.6,0.0,4.7,32,8,1.0,,1.0
203,Bottoms_Ann Taylor_Pink_XL,Bottoms,Ann Taylor,Pink,XL,2025-08-04,1,105.52,0.0,4.9,32,8,1.0,,1.0
145,Accessories_Uniqlo_Red_OS,Accessories,Uniqlo,Red,OS,2025-08-04,6,61.27666666666667,0.4166666666666667,2.7199999999999998,32,8,1.0,,1.0
214,Bottoms_Banana Republic_Beige_M,Bottoms,Banana Republic,Beige,M,2025-08-04,1,38.02,0.0,4.7,32,8,1.0,,1.0
98,Accessories_H&M_Navy_OS,Accessories,H&M,Navy,OS,2025-08-04,3,53.873333333333335,18.933333333333334,3.3000000000000003,32,8,1.0,1.0,1.0
89,Accessories_H&M_Blue_OS,Accessories,H&M,Blue,OS,2025-08-04,2,46.915000000000006,20.25,2.0,32,8,1.0,,1.0
6,Accessories_Ann Taylor_Black_OS,Accessories,Ann Taylor,Black,OS,2025-08-04,3,35.62,18.333333333333332,3.4333333333333336,32,8,1.0,1.0,1.0
8,Accessories_Ann Taylor_Blue_OS,Accessories,Ann Taylor,Blue,OS,2025-08-04,1,42.19,27.0,1.8,32,8,1.0,,1.0
11,Accessories_Ann Taylor_Gray_OS,Accessories,Ann Taylor,Gray,OS,2025-08-04,5,40.384,17.82,3.18,32,8,1.0,,1.0
13,Accessories_Ann Taylor_Green_OS,Accessories,Ann Taylor,Green,OS,2025-08-04,6,40.388333333333335,14.549999999999999,3.9200000000000004,32,8,1.0,,1.0
16,Accessories_Ann Taylor_Pink_OS,Accessories,Ann Taylor,Pink,OS,2025-08-04,1,23.28,0.0,3.1,32,8,1.0,,1.0
22,Accessories_Ann Taylor_Red_OS,Accessories,Ann Taylor,Red,OS,2025-08-04,1,69.69,0.0,3.0,32,8,1.0,,1.0
24,Accessories_Ann Taylor_White_OS,Accessories,Ann Taylor,White,OS,2025-08-04,4,32.1775,17.225,3.3,32,8,1.0,,1.0
30,Accessories_Banana Republic_Blue_OS,Accessories,Banana Republic,Blue,OS,2025-08-04,1,65.17,1.7,1.6,32,8,1.0,2.0,1.3333333333333333
32,Accessories_Banana Republic_Brown_OS,Accessories,Banana Republic,Brown,OS,2025-08-04,4,20.86,28.549999999999997,3.5666666666666664,32,8,1.0,,1.0
